Date,Open,High,Low,Close,Adj Close,Volume
2022-11-22,165.250000,167.500000,164.850006,167.050003,159.014145,15198091
2022-11-23,167.850006,168.250000,166.250000,168.050003,159.966034,12004998
2022-11-24,168.699997,170.000000,167.600006,169.500000,161.346283,10986350
2022-11-25,170.250000,171.250000,168.600006,169.750000,161.584259,12358833
2022-11-28,170.000000,171.899994,169.399994,170.399994,162.202972,5471921
2022-11-29,171.000000,171.600006,169.050003,170.149994,161.965012,7693168
2022-11-30,170.100006,172.850006,169.750000,172.199997,163.916397,9133076
2022-12-01,173.500000,173.649994,170.850006,172.199997,163.916397,9214914
2022-12-02,172.399994,172.850006,171.149994,172.149994,163.868820,6376672
2022-12-05,173.050003,175.649994,171.399994,175.149994,166.724487,9861212
2022-12-06,175.600006,176.000000,173.850006,175.199997,166.772095,7008295
2022-12-07,174.100006,175.000000,171.300003,171.850006,163.583252,7718718
2022-12-08,171.850006,172.449997,170.000000,170.350006,162.155411,4225180
2022-12-09,171.199997,171.750000,168.000000,169.500000,161.346283,6174919
2022-12-12,170.000000,170.000000,167.550003,168.899994,160.775146,7153044
2022-12-13,169.750000,170.000000,168.050003,169.199997,161.060715,5166993
2022-12-14,169.949997,173.699997,169.449997,171.600006,163.345261,8562333
2022-12-15,172.000000,174.050003,171.699997,172.100006,163.821213,10644546
2022-12-16,171.899994,173.100006,169.050003,169.800003,161.631851,9433166
2022-12-19,169.800003,172.250000,169.500000,171.800003,163.535645,7706855
2022-12-20,171.149994,171.449997,168.550003,169.750000,161.584259,7387632
2022-12-21,170.000000,171.050003,166.600006,167.949997,159.870850,8454254
2022-12-22,168.500000,168.649994,164.550003,165.899994,157.919464,6979001
2022-12-23,164.300003,166.350006,162.350006,163.000000,155.158966,5313321
2022-12-26,162.000000,167.750000,161.899994,165.649994,157.681488,8321609
2022-12-27,167.000000,168.199997,164.550003,165.199997,157.253143,9244387
2022-12-28,165.000000,167.600006,164.800003,165.850006,157.871872,9652984
2022-12-29,165.000000,167.399994,164.000000,166.750000,158.728561,19571340
2022-12-30,166.750000,167.800003,166.000000,166.449997,158.442993,8626291
2023-01-02,167.050003,168.550003,166.399994,168.000000,159.918457,7322962
2023-01-03,168.000000,169.199997,166.800003,167.600006,159.537704,9629995
2023-01-04,167.850006,168.500000,164.699997,166.600006,158.585800,11995082
2023-01-05,168.000000,170.350006,167.149994,169.899994,161.727036,18887530
2023-01-06,170.449997,172.149994,168.550003,169.000000,160.870331,13216749
2023-01-09,170.250000,171.000000,169.449997,170.399994,162.202972,6012344
2023-01-10,170.399994,170.699997,167.149994,167.949997,159.870850,7557693
2023-01-11,168.449997,168.800003,165.500000,166.050003,158.062241,8463293
2023-01-12,166.899994,167.199997,165.550003,165.949997,157.967056,7628932
2023-01-13,166.199997,168.149994,165.500000,167.800003,159.728073,5090393
2023-01-16,168.649994,168.649994,164.649994,165.949997,157.967056,10321015
2023-01-17,166.600006,168.199997,165.800003,167.699997,159.632874,13015434
2023-01-18,167.500000,169.699997,167.100006,169.449997,161.298691,5536057
2023-01-19,170.399994,170.399994,167.300003,168.699997,160.584778,6812613
2023-01-20,169.899994,169.899994,167.649994,168.699997,160.584778,8545359
2023-01-23,169.399994,169.500000,166.000000,166.850006,158.823776,7787735
2023-01-24,167.199997,167.550003,165.399994,166.050003,158.062241,7033092
2023-01-25,166.000000,166.600006,164.399994,165.899994,157.919464,9257370
2023-01-27,166.250000,167.050003,164.000000,166.300003,158.300217,13756671
2023-01-30,167.600006,172.250000,167.100006,168.850006,160.727554,30768122
2023-01-31,169.850006,172.649994,167.350006,171.149994,162.916901,24990701
2023-02-01,172.250000,173.800003,167.199997,170.000000,161.822220,13878016
2023-02-02,170.000000,170.850006,165.500000,166.899994,158.871353,19898080
2023-02-03,164.500000,166.449997,162.550003,165.550003,161.703979,11730514
2023-02-06,164.500000,166.850006,164.050003,166.050003,162.192368,7588936
2023-02-07,166.500000,167.699997,164.300003,165.250000,161.410965,8699758
2023-02-08,165.600006,165.750000,164.100006,165.500000,161.655151,8839686
2023-02-09,165.949997,166.649994,164.649994,166.000000,162.143524,5507650
2023-02-10,165.100006,165.800003,164.100006,165.000000,161.166763,9468345
2023-02-13,165.100006,168.199997,164.800003,167.850006,163.950562,9829152
2023-02-14,168.500000,168.500000,164.850006,166.050003,162.192368,12916373
2023-02-15,166.000000,166.500000,164.199997,165.800003,161.948181,11855678
2023-02-16,166.000000,167.699997,165.600006,167.399994,163.511002,7923121
2023-02-17,167.000000,169.649994,166.449997,168.050003,164.145905,10182025
2023-02-20,167.699997,170.000000,167.250000,167.899994,163.999374,6679716
2023-02-21,169.050003,174.250000,169.050003,173.250000,169.225098,26883881
2023-02-22,172.949997,173.199997,168.500000,170.500000,166.538986,12225021
2023-02-23,170.949997,171.649994,169.000000,169.600006,165.659912,11184381
2023-02-24,170.250000,171.199997,169.399994,171.000000,167.027374,8338893
2023-02-27,171.149994,173.500000,170.500000,172.399994,168.394852,17669762
2023-02-28,172.800003,173.000000,169.850006,170.500000,166.538986,19044910
